Hours,Classwork,Homework,Score
3.75,6.98,1.85,0.72
9.51,5.36,5.42,10.0
7.32,3.1,8.73,3.97
5.99,8.14,7.32,4.78
1.56,6.85,8.07,7.16
1.56,1.63,6.59,6.75
0.58,9.11,6.92,7.97
8.66,8.23,8.49,9.28
6.01,9.5,2.5,7.24
7.08,7.26,4.89,7.78
0.21,6.13,2.21,4.32
9.7,4.18,9.88,7.97
8.32,9.33,9.44,9.22
2.12,8.66,0.39,4.13
1.82,0.45,7.06,1.71
1.83,0.26,9.25,3.01
3.04,3.76,1.81,0.42
5.25,8.11,5.68,6.37
4.32,9.87,9.15,6.51
2.91,1.5,0.34,0.0
6.12,5.94,6.97,6.57
1.39,3.81,2.97,4.92
2.92,9.7,9.24,8.91
3.66,8.42,9.71,5.02
4.56,8.38,9.44,6.07
7.85,4.69,4.74,7.06
2.0,4.15,8.62,3.37
5.14,2.73,8.45,4.83
5.92,0.56,3.19,3.79
0.46,8.65,8.29,4.63
6.08,8.13,0.37,5.34
1.71,10.0,5.96,4.3
0.65,9.97,2.3,3.97
9.49,5.55,1.21,5.91
9.66,7.69,0.77,3.81
8.08,9.45,6.96,8.95
3.05,8.5,3.4,5.3
0.98,2.47,7.25,4.29
6.84,4.51,0.65,4.39
4.4,1.29,3.15,4.83
1.22,9.54,5.39,5.99
4.95,6.06,7.91,5.64
0.34,2.29,3.19,2.16
9.09,6.72,6.26,8.11
2.59,6.18,8.86,5.98
6.63,3.58,6.16,5.33
3.12,1.14,2.33,1.04
5.2,6.72,0.24,3.33
5.47,5.2,8.7,4.23
1.85,7.72,0.21,6.33
9.7,5.2,8.75,5.75
7.75,8.52,5.29,6.28
9.39,5.52,9.39,6.77
8.95,5.61,7.99,8.67
5.98,8.77,9.98,7.85
9.22,4.03,3.51,7.3
0.88,1.34,7.67,2.09
1.96,0.29,4.02,2.33
0.45,7.55,4.8,3.34
3.25,6.2,6.28,8.56
3.89,7.04,8.74,4.82
2.71,2.13,9.84,5.08
8.29,1.36,7.68,6.29
3.57,0.15,4.18,3.0
2.81,3.51,4.21,3.23
5.43,5.9,7.38,6.01
1.41,3.92,2.39,2.77
8.02,4.37,1.1,4.27
0.75,9.04,3.55,6.35
9.87,3.48,2.87,8.53
7.72,5.14,2.96,4.43
1.99,7.84,2.34,2.38
