Hours,Classwork,Homework,Score
7.49,6.98,1.85,1.85
19.01,5.36,5.42,10.0
14.64,3.1,8.73,6.16
11.97,8.14,7.32,6.58
3.12,6.85,8.07,7.63
3.12,1.63,6.59,7.22
1.16,9.11,6.92,8.15
17.32,8.23,8.49,10.0
12.02,9.5,2.5,9.05
14.16,7.26,4.89,9.9
0.41,6.13,2.21,4.38
19.4,4.18,9.88,10.0
16.65,9.33,9.44,10.0
4.25,8.66,0.39,4.76
3.64,0.45,7.06,2.26
3.67,0.26,9.25,3.56
6.08,3.76,1.81,1.33
10.5,8.11,5.68,7.95
8.64,9.87,9.15,7.8
5.82,1.5,0.34,0.8
12.24,5.94,6.97,8.41
2.79,3.81,2.97,5.34
5.84,9.7,9.24,9.78
7.33,8.42,9.71,6.12
9.12,8.38,9.44,7.44
15.7,4.69,4.74,9.42
3.99,4.15,8.62,3.97
10.28,2.73,8.45,6.38
11.85,0.56,3.19,5.56
0.93,8.65,8.29,4.77
12.15,8.13,0.37,7.17
3.41,10.0,5.96,4.81
1.3,9.97,2.3,4.16
18.98,5.55,1.21,8.76
19.31,7.69,0.77,6.71
16.17,9.45,6.96,10.0
6.09,8.5,3.4,6.22
1.95,2.47,7.25,4.58
13.68,4.51,0.65,6.44
8.8,1.29,3.15,6.15
2.44,9.54,5.39,6.35
9.9,6.06,7.91,7.12
0.69,2.29,3.19,2.26
18.19,6.72,6.26,10.0
5.18,6.18,8.86,6.76
13.25,3.58,6.16,7.32
6.23,1.14,2.33,1.97
10.4,6.72,0.24,4.89
10.93,5.2,8.7,5.87
3.7,7.72,0.21,6.89
19.39,5.2,8.75,8.66
15.5,8.52,5.29,8.61
18.79,5.52,9.39,9.58
17.9,5.61,7.99,10.0
11.96,8.77,9.98,9.65
18.44,4.03,3.51,10.0
1.77,1.34,7.67,2.36
3.92,0.29,4.02,2.92
0.9,7.55,4.8,3.48
6.51,6.2,6.28,9.53
7.77,7.04,8.74,5.99
5.43,2.13,9.84,5.9
16.57,1.36,7.68,8.77
7.14,0.15,4.18,4.07
5.62,3.51,4.21,4.07
10.85,5.9,7.38,7.63
2.82,3.92,2.39,3.2
16.04,4.37,1.1,6.67
1.49,9.04,3.55,6.57
19.74,3.48,2.87,10.0
15.44,5.14,2.96,6.74
3.97,7.84,2.34,2.97
0.11,3.97,0.42,1.61
16.31,6.22,0.18,10.0
14.14,8.62,9.88,9.45
14.58,9.5,4.28,10.0
15.43,1.47,3.84,8.89
1.48,9.27,6.8,5.36
7.17,4.92,2.18,5.63
2.32,2.58,9.5,7.02
17.26,4.59,7.86,8.81
12.47,9.8,0.89,7.62
6.62,4.93,4.18,4.34
1.27,3.29,8.79,2.81
6.22,6.33,9.45,6.26
6.5,2.4,4.67,2.48
14.59,0.76,6.13,6.57
12.75,1.29,1.67,3.69
17.74,1.28,9.91,9.16
9.44,1.52,2.32,1.8
